"First Time Inquiries/Outreach, July-December 2025",Days since initial meeting
ECA/CTSI Human Centered Design Discussion 7/12/24,10
External 1:1 Meeting with Nicole Oshurak 8/6/24,35
Student Success Hub Collaboration 8/9/24,38
New Faculty Resource Fair - 8/22/24,51
"External Meeting with Adena Bowden, Healthy Start 9/6/24",66
"External Meeting with Meggan Lloyd, Pitt Serves 9/9/24",69
Internal Funding Showcase - 9/18/24,78
External 1:1 Meeting Vital Conditions and L&D 9/24/24,84
External 1:1 Meeting with Christina Frasher 9/25/24,85
External 1:1 Meeting with Shawn Bengston 10/1/24,91
External 1:1 Meeting with DLAR and McGowan 10/4/24,94
External 1:1 Meeting with Deanna Ibrahim and Christina Frasher 10/14/24,104
External 1:1 Meeting with Deanna Ibrahim 10/17/24,107
"Civic Engagement &Learning discussion, ECA, CTL, Honors College - 10/23/2024",113
External 1:1 Meeting Vital Conditions and L&D follow up 10/23/24,113
Hill Health Alliance Constituent Mapping Session 11/4/24,125
Katz Business CES Discussion meeting - 11/11/2024,132
NRT Proposal CoP Meeting 11/14/24,135
Staff Council Spotlight Webinar 11/15/24,136
LRDC Community Engaged Research Meeting 12/5/24,156
External 1:1 Meeting with Nicole Oshurak 12/17/24,168
PARENT1: OLLI General Internal Outreach,113
OLLI - Library planning meeting,0
OLLI Research Collaboration - Longfei Shangguan 9/30/24,48
OLLI Event - Tour of Allegheny Observatory,67
OLLI - Library planning meeting 10/24/24,72
OLLI Event - Library Resources and Services webinar,101
OLLI Event - Tour of Healthy Home Lab,104
OLLI Event - Tour of the Vision Institute,113
Pitt Police & OCSS Check Ins,65
Concern Connection Updates Meeting - 7/16/24,0
Pitt Police Check In - 8/26/24,41
Oakland Trash Management Student Initiatives Meeting 9/12/24,58
Summer Clutter & Furniture Collection Recap Meeting - 9/19/24,65
Procurement,0
Conference Abstract Brainstorm meeting - 11/21/2024,0
Project Development Cohort,128
PDC call with Jenna Nichols 8/13/24,0
External 1:1 Meeting ECA and the OER Committee 9/25/24,43
Engaged Scholarship Project Development Cohort Session 1 10/10/24,58
Project Development Cohort Facilitator Prep Session,120
PDC session #2 planning call with Aliya Durham 12/11/24,120
Engaged Scholarship Project Development Cohort Session 2 12/19/24,128
Public Service and Volunteerism,166
DEI 2.0 Introduction 7/3/24,0
Off Campus Clutter for A Cause 7/12/24,9
BAGND Planning 7/15/24,12
Final Planning Updates for CAW 7/26/24,23
DEI 2.0 Follow Up 8/6/24,34
Garbage Olympics Logistics Meetings 8/9/24,37
Furniture Redistribution 8/10/24,38
Bates Street Faculty Cleanup 9/13/24,72
Off-Campus Student Services 10/2/24,91
United Way Steering Committee 10/7/24,96
PSV Presentation at OEDI Forum,106
Reading is FUNdamental Program Introduction 10/30/24,119
United Way Steering Committee 11/4/24,124
Meeting with OCSS 11/12/24,132
PDC/Jada House Staff Service Project - 11/15/24,135
Tenant Town Hall Review 12/4/24,154
Food Bank Volunteerism Planning 12/16/24,166
RECAST: Hazelwood,0
12.16.24 RECAST Project Intro for Center of Life,0
SHRS Wellness Pavillion Outpatient Services,119
Meeting w/ VBA - Vision Services at WP - 7.17.24,0
SHRS Wellness Pavillion Outpatient Services Community Meeting,7
Meeting w/ VBA - Vision Services at WP - 8.7.24,21
CEC Access,119
Smithsonian Biotechnology Curriculum w. GNEP,130
8.8.24 Biotechnology Curriculum at Center of Life,0
9.23.24 Center of Life Biotechnology Curriculum Check-In,46
10.01.24 Smithsonian Biotechnology Curriculum Launch w. CoL,54
10.03.24 Smithsonian Biotechnology Curriculum- Lesson Planning,56
10.08.24 Smithsonian Biotechnology Curriculum w. CoL,61
10.10.24 Smithsonian Biotechnology Curriculum w. CoL,63
10.15.24 Smithsonian Biotechnology Curriculum w. CoL,68
10.17.24 Smithsonian Biotechnology Curriculum w. CoL,70
10.22.24 Smithsonian Biotechnology Curriculum w. CoL,75
10.29.24 Smithsonian Biotechnology Curriculum w. CoL,82
11.5.24 Smithsonian Science Education Center,89
11.7.24 Smithsonian Biotechnology Curriculum w. CoL,91
11.12.24 Smithsonian Biotechnology Curriculum w. CoL,96
11.14.24 Smithsonian Biotechnology Curriculum w. CoL,98
11.19.24 Smithsonian Biotechnology Curriculum w. CoL,103
12.16.24 Smithsonian Biotech Curriculum – Recap,130
Solid Waste Pick Ups,0
DPW Agreement Support Meeting - 8/1/24,0
STEAM Saturdays,0
12.19.24 GNEP & Trauma Emergency League Meeting,0
Student Government Board,0
Pittsburgh Policy Initiative Meeting - 10/11/24,0
Tours of Distinction,0
OLLI Travel: Tours of Distinction 10/25/24,0
UCSUR Director Search,53
UCSUR Director Search meeting w/ CEC staff - 10/18/2024,0
UCUSR Director Open Form - 10/25/2024,7
Final Position Description Revisions - 10/31/24,13
Director Search Advisory Committee Meeting - 12/10/24,53
United Way Campaign Chair,94
Kickoff Video Shoot,0
Racial Wealth Gap Welcome,37
Bridges Next Gen Kick Off,44
Steering Committee Prep - 10/30/24,51
United Way Steering Committee - 11/4/2024,56
Thanksgiving Luncheon,58
Shift Change Meeting,78
Shift Change Meeting - 11/26/24 8 am,79
Shift Change Meeting - 11/27/24 6 am,79
Shift Change - 12/9/24 - 6 am,91
Shift Change - 12/9/24 - 8 am,91
United Way Monthly Check In - 12/9/24,91
Shift Change - 12/9/24 - 7 am,91
Shift Change - 12/10/24 - 8 am,92
Shift Change - 12/10/24 - 6 am,92
Shift Change - 12/11/24 - 8 am,93
Shift Change - 12/11/24 - 6 am,93
Shift Change - 12/12/24 - 8 am,94
Shift Change - 12/12/24 - 6 am,94
Urban Farming,2
Urban Farming Inquiry - 12/12/24,0
Urban Farming Follow Up - 12/13/24,2
Validating and Communicating Impact,95
Kick-off: Validating and Communicating Impact - 8/22/2024,0
Validating and Communicating Impact meeting - 10/28/2024,67
Validating and Communicating Impact meeting - 11/25/2024,95
West Oakland #4 Block Club,0
Meeting w/ Scarlet Morgan,0
Workforce Development - External,170
Operation Better Block,0
Pittsburgh Good Job Principals 8/16/2024,46
TEAM/PITT Anchor Meeting 8/26/2024,56
The Regional Community and Economic Development Policy Committee 8/29/2024,59
2024 White House Hub Documentation,116
OBID/ Anchor Initiatives Workforce Development - 11/5/2024,127
Follow up w Mark Lay - 12/18/2024,170
Grand Total,170
